Date,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,ANTM,AON,AOS,APA,APD,APH,APTV,ARE,ARNC,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBY,BDX,BF.B,BIIB,BK,BKNG,BKR,BLK,BLL,BMY,BR,BRK.B,BSX,BWA,BXP,C,CAH,CAT,CB,CBOE,CBRE,CCL,CDNS,CDW,CE,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMS,CNC,CNP,COF,COG,CPB,CPRI,CSCO,CTAS,CTL,CTSH,CTXS,CVX,GOOG,GOOGL,KMX,KO,LNT,MMM,MO,SCHW,T,XEC
2015-01-02,38.65,51.08,157.24,100.22,53.26,82.93,37.31,40.32,79.86,72.34,49.4,44.41,74.5,272.38,59.53,39.07,50.96,11.14,25.13,245.63,50.36,31.92,60.66,40.79,63.25,55.43,56.2,54.99,63.8,52.78,186.6,22.97,9.2,2.67,50.88,139.07,115.38,90.28,308.52,62.68,81.64,116.49,88.77,25.55,56.29,117.19,51.16,56.45,77.12,34.1,49.74,19.39,142.06,89.12,46.64,48.18,85.74,616.79,112.79,16.46,36.85,33.87,129.94,,342.01,36.5,1142.06,35.22,313.6,32.22,51.97,41.6,,13.22,50.94,115.93,49.93,68.85,76.98,100.53,59.51,34.67,39.1,18.83,32.97,54.06,64.54,45.2,21.83,35.55,65.67,166.43,102.69,44.29,61.13,90.51,41.43,26.04,72.17,678.4,30.06,26.11,18.99,73.51,28.7,37.6,74.78,23.58,74.16,25.07,51.0,49.69,90.69,523.37,529.55,66.47,35.8,28.12,142.06,38.9,28.45,25.45,102.88
2015-01-05,37.93,51.05,155.16,97.39,52.26,82.23,37.07,40.33,78.51,71.98,48.5,42.87,74.45,268.59,58.66,38.68,50.21,10.82,24.47,243.32,49.36,32.2,59.29,40.55,61.94,53.59,56.99,54.2,62.54,52.67,182.17,22.23,9.2,2.66,49.35,137.42,111.68,88.98,302.19,63.8,80.86,114.45,87.91,25.1,52.83,113.44,50.22,53.98,78.05,32.12,48.84,19.12,143.02,87.69,46.06,47.43,83.47,608.49,112.0,15.98,35.93,33.0,130.74,,336.74,35.56,1097.58,34.58,305.48,31.52,51.16,40.98,,13.81,49.47,116.98,48.36,68.46,72.92,98.89,61.41,33.92,38.91,18.4,32.62,52.22,63.69,45.04,21.32,35.16,62.79,160.5,100.92,43.65,60.67,90.53,39.95,25.51,72.58,667.69,29.82,26.04,18.38,71.81,27.13,37.03,73.0,23.11,72.81,24.54,50.68,48.58,87.07,512.46,519.46,64.58,35.8,27.77,138.86,38.67,27.5,25.21,96.92
2015-01-06,37.34,50.26,155.05,97.4,52.0,82.68,36.13,39.87,77.95,70.53,47.36,42.03,73.83,265.17,57.5,38.23,50.48,10.58,24.26,241.88,48.66,32.46,58.47,40.47,60.67,52.54,57.45,53.57,62.49,52.58,177.95,21.4,9.2,2.63,48.4,132.99,108.68,88.74,295.29,63.81,79.26,116.01,87.39,24.9,52.26,113.4,49.58,53.64,78.44,32.36,48.54,18.76,144.97,85.7,46.52,47.56,81.7,607.82,110.69,15.5,35.74,32.7,130.49,,334.65,34.54,1079.96,34.48,300.74,30.99,51.07,41.29,,13.7,49.13,119.25,46.66,67.73,72.45,98.02,62.05,33.66,39.29,17.91,32.15,51.43,63.04,45.98,21.08,34.87,61.97,156.31,101.32,43.32,60.04,90.91,38.75,25.18,71.47,664.38,29.87,26.12,17.97,70.48,26.75,36.78,66.87,23.1,72.67,24.23,49.36,47.22,87.03,500.59,506.64,63.77,36.07,27.68,137.38,38.9,26.49,25.24,95.21
2015-01-07,37.83,50.23,158.39,98.77,54.1,84.33,37.28,40.19,79.58,71.11,47.86,42.66,74.48,267.2,57.38,38.53,51.2,10.59,24.41,251.41,48.9,32.79,58.7,40.86,60.16,52.33,59.57,54.39,63.52,53.3,187.93,21.6,8.81,2.58,48.55,137.63,110.61,89.68,298.42,65.14,79.71,116.59,88.38,25.08,51.68,114.63,50.43,54.07,79.51,33.2,49.23,18.36,146.65,88.01,46.98,48.17,83.48,607.24,112.4,15.57,35.91,33.64,133.55,,353.24,35.25,1069.57,35.41,307.1,31.26,51.74,41.97,,14.03,50.28,120.58,47.09,70.15,73.57,99.41,63.1,34.01,39.43,18.42,32.82,52.06,63.71,47.29,21.16,35.26,61.99,156.79,103.7,43.91,60.51,92.47,39.13,25.16,72.3,694.26,30.36,26.27,18.21,71.28,26.98,38.4,68.71,23.32,72.29,24.36,50.98,47.93,86.96,499.73,505.15,64.78,36.52,28.14,138.37,39.62,27.01,25.27,94.41
2015-01-08,38.97,50.84,159.77,102.56,54.67,84.52,38.96,41.02,80.8,72.92,48.71,42.04,76.18,274.82,58.8,38.66,51.64,10.76,24.65,254.95,48.68,33.14,59.58,41.57,61.57,53.98,61.44,55.33,64.74,54.02,183.8,22.29,8.81,2.61,49.75,137.14,112.57,90.51,300.46,66.12,81.66,122.15,89.68,25.73,53.68,117.28,51.41,55.4,80.42,34.14,49.56,18.54,148.01,92.41,48.37,48.35,84.66,606.0,114.39,15.9,36.84,34.15,135.98,,350.25,35.74,1082.85,35.76,310.69,31.8,53.03,42.6,,14.59,51.14,121.07,47.8,72.32,74.33,101.02,62.46,34.75,40.02,18.61,33.64,53.09,65.1,47.94,21.32,35.96,64.78,162.94,108.98,44.84,61.34,93.51,39.95,25.7,72.64,719.99,30.52,26.67,18.64,71.97,27.52,39.18,70.0,23.5,73.48,24.61,52.17,48.14,88.95,501.3,506.91,66.09,36.97,28.58,141.69,40.29,27.71,25.53,96.76
2015-01-09,38.68,49.29,158.96,102.67,53.17,85.26,38.41,40.59,80.71,71.84,48.67,41.68,75.64,277.51,58.27,38.23,51.37,10.49,24.12,254.68,47.86,33.32,59.38,41.01,60.78,54.24,62.58,54.44,64.08,53.57,184.27,22.31,8.81,2.63,49.3,135.45,111.53,90.05,296.93,66.42,80.76,120.52,89.19,25.32,53.52,115.52,51.12,54.56,80.19,34.59,49.16,18.2,148.46,93.4,47.74,48.5,83.59,606.02,114.17,15.61,36.38,33.23,134.38,,342.34,35.21,1051.96,35.41,307.0,31.17,52.68,42.61,,14.65,49.81,121.68,46.73,71.7,73.44,99.59,61.99,34.65,39.69,18.55,33.78,52.45,64.46,48.33,21.06,35.84,64.08,161.98,107.85,44.35,60.74,92.91,38.17,25.66,72.7,714.27,30.18,26.47,18.25,70.73,28.65,39.07,69.26,23.73,72.91,24.31,52.41,47.83,87.17,494.81,500.72,65.04,36.56,28.18,139.95,40.19,26.78,25.45,97.27
2015-01-12,38.22,46.98,157.6,100.14,53.16,83.36,38.56,40.93,80.46,71.12,48.18,41.16,75.27,278.09,57.29,38.08,51.3,10.47,23.98,258.09,46.99,33.96,59.09,40.88,60.75,54.87,63.17,55.24,63.42,52.72,183.36,21.77,8.81,2.63,48.07,135.88,110.4,89.66,291.41,66.07,79.92,119.62,87.93,25.42,51.55,114.72,50.5,53.57,80.71,34.72,49.24,18.17,149.75,91.85,48.08,48.35,82.74,597.36,113.58,15.34,36.55,34.13,133.38,,347.84,34.71,1039.98,34.54,304.98,31.03,54.3,42.59,,14.58,48.5,122.18,46.36,70.82,72.8,98.39,62.12,34.5,39.68,18.36,33.78,52.15,64.3,48.41,21.06,35.73,64.83,163.85,106.04,44.1,60.43,92.68,37.8,25.61,71.74,711.7,30.09,26.2,18.29,70.45,28.0,39.19,69.33,23.96,72.44,24.47,52.43,47.86,85.3,491.2,497.06,64.35,36.23,28.1,139.19,40.44,26.52,25.52,92.52
2015-01-13,37.69,47.75,152.48,101.03,51.63,84.02,38.81,40.27,80.75,70.59,47.63,41.22,75.12,274.46,57.34,38.41,51.56,10.59,23.87,255.84,46.55,32.74,59.09,41.08,60.79,56.05,62.65,55.97,63.8,52.82,179.21,21.47,8.81,2.66,48.07,134.94,111.2,88.66,294.74,65.27,80.63,120.97,88.3,25.31,51.55,114.12,50.38,52.61,80.98,33.93,49.48,17.88,149.6,91.33,48.05,48.45,82.49,588.95,113.84,15.12,36.17,34.14,131.67,,352.74,34.64,1037.82,34.63,305.9,30.88,55.13,42.68,,14.5,47.87,121.91,46.03,70.56,72.36,98.54,61.4,34.09,39.4,18.43,34.32,51.35,64.78,48.67,21.05,35.82,65.46,164.4,106.69,44.07,60.85,93.05,37.4,25.91,71.34,714.06,30.53,26.68,18.19,69.85,28.28,39.18,68.42,24.0,73.28,24.44,52.43,46.09,83.94,494.82,501.8,64.27,36.22,28.3,139.08,40.76,26.54,25.52,93.4
2015-01-14,37.22,46.82,149.57,100.65,51.88,84.44,38.25,39.97,79.81,69.99,47.59,40.51,74.9,268.56,56.41,38.76,52.3,10.68,23.68,252.54,46.12,33.2,58.64,40.79,59.71,54.7,61.06,56.09,63.18,53.04,175.4,21.18,8.81,2.63,47.47,134.96,109.17,88.1,293.27,65.06,80.72,122.39,88.17,25.25,52.5,112.76,50.02,52.21,81.46,32.1,50.84,18.23,151.52,92.05,48.2,49.31,80.49,582.78,113.16,14.75,36.05,34.85,130.83,,348.75,33.77,1035.67,34.36,303.94,30.9,54.98,42.32,,14.5,48.14,123.35,45.14,70.09,72.11,96.5,61.07,33.76,38.99,18.26,33.59,50.09,64.19,47.06,20.67,36.04,64.89,158.13,107.29,43.69,60.6,93.2,37.06,25.45,69.61,709.74,30.77,26.66,18.17,68.39,28.14,39.22,66.52,23.85,73.33,24.26,52.69,45.03,83.7,499.5,505.93,63.42,36.16,28.82,138.41,41.09,25.63,25.4,92.31
2015-01-15,36.22,46.82,146.78,97.92,51.22,83.8,37.11,39.67,79.26,70.29,46.9,40.3,74.87,266.92,55.71,39.12,52.63,10.65,23.6,250.01,45.24,33.23,57.87,40.55,58.63,53.38,59.63,56.03,62.99,51.58,172.87,21.47,8.81,2.52,46.73,132.14,107.32,87.21,286.95,63.21,80.83,124.51,88.04,24.74,52.91,112.38,49.53,52.21,81.81,32.14,50.99,17.87,152.08,90.21,47.18,49.35,79.39,575.28,112.95,13.97,35.93,29.95,130.7,,339.88,33.61,998.25,33.56,301.04,30.64,53.82,41.91,,14.31,46.96,123.62,43.46,69.15,71.23,96.47,61.11,33.24,38.72,17.73,33.47,50.18,63.59,46.96,20.24,36.33,64.48,160.49,106.72,43.69,60.49,93.58,36.66,25.53,69.49,700.78,30.95,26.72,18.21,68.57,27.44,39.66,66.01,23.41,73.42,24.25,52.13,44.6,82.71,500.42,504.01,62.23,36.01,28.88,138.25,41.68,25.1,25.34,88.45
